Gene Symbol,logFC,P.Value
LPP,-1.108181835,0.0123767188771308
CALB2,-1.107821176,0.00536971412679188
PTN,-1.105767696,0.018544903327285
HEG1,-1.104337097,0.00796897804647713
DARC,-1.103669167,4.2807943158891e-05
HECTD2,-1.103468116,0.00847121070841296
ACTA2,-1.103260533,0.0140611764405372
ITGA9,-1.102912433,0.0285500530207213
RBMS1,-1.101832291,0.00466619136899169
ARHGAP20,-1.100420974,0.00209406387345986
GJC1,-1.09900912,0.0551105142710598
PRKD1,-1.097293788,0.0162780373474532
PCSK2,-1.095412952,0.00205861145634179
GPR183,-1.093478299,0.0123029000717188
CPE,-1.09030568,0.00303891854658344
PDE4D,-1.089608468,0.0013425208395393
CADM2,-1.087833012,0.0121117363151876
SNORD116-18,-1.086717627,0.000539211280946145
CTSF,-1.084946486,0.00391631987331784
RPS20P22,-1.084666366,0.00393129206511454
OXCT1,-1.08449996,0.00158252088405195
DENND5A,-1.084246999,0.0320659923115043
RERGL,-1.083995688,0.0232645984319642
PDE3B,-1.083279201,0.0318704141071441
CYP7B1,-1.082617175,0.00115439435149898
SENP7,-1.080734506,0.00123441623020227
TTBK2,-1.080184153,0.00237113522302941
TTLL7,-1.08010717,0.0069280107400059
CNKSR3,-1.080067995,0.0109740410004669
DENND4A,-1.079807835,0.00479815308009311
SPON1,-1.079295657,0.0391336979484909
OTTHUMG00000152857,-1.078293312,0.0421615707816129
TSPAN18,-1.078270958,0.0108528765835344
RERG,-1.078104044,0.00090934348820405
GABBR1,-1.078067866,0.000227646922075896
TOR1AIP1,-1.077931859,0.00523492324685756
SFRP1,-1.076189621,0.00286395650059029
GABBR1,-1.075324537,0.000221720424458371
RNA5SP196,-1.074504785,0.008738649837209
ZFPM2,-1.074482821,0.00278687897377602
GPM6B,-1.074065914,0.00366611893977906
LRMP,-1.073130818,0.20593023730227
FGFR1,-1.07304599,0.00267455500554657
SNORD116-16,-1.072541672,0.000719477862273197
CRYBG3,-1.070717994,0.016284099385481
LHFP,-1.070526015,0.0143018500888001
FREM1,-1.069533686,0.0712505057229988
GYPC,-1.069467177,0.000194299250214482
GIMAP4,-1.069043124,0.0184559910371309
STAP1,-1.068607528,0.239052874222621
GABBR1,-1.066571508,0.000254350513531526
GABBR1,-1.066571508,0.000254350513531526
GABBR1,-1.066571508,0.000254350513531526
FRY,-1.066434458,0.0135512015081853
ARHGAP15,-1.066170608,0.0493218751809569
LAMA2,-1.065509934,0.0334166818813996
MAN1A1,-1.064701651,0.00655961824900479
TTC28,-1.063760496,0.000400452191111164
SEMA3A,-1.062616063,0.119136154148962
FAM126A,-1.062594136,0.00503050328722129
CFB,1.062067422,0.0806104329585766
CFB,1.062067422,0.0806104329585766
REV3L,-1.061577704,0.00487350782514518
TPH1,-1.061291375,0.0520252549809724
GABBR1,-1.061232986,0.000247709426300133
MS4A7,-1.06022239,0.00364358850822836
LGI1,-1.058698659,0.0182661605545278
TCP11L2,-1.057731291,2.61601389927853e-05
PPP3CB,-1.056698194,0.000839982960902798
RECK,-1.055959948,0.00260479722146532
LINC00341,-1.055940153,0.0161260733601248
CD1C,-1.053310283,0.136599287635769
FOXF2,-1.052204945,0.0044869953135847
TBC1D9,-1.051884135,0.0386307521849641
FCGR2B,-1.05175521,0.0127560917973983
OTTHUMG00000159695,-1.051110979,0.0204819675627216
TLN1,-1.050944191,0.0133737974830547
RGS13,-1.04910796,0.186290552292019
ZNF518B,-1.048943594,0.000899210704060294
PLEK,-1.047825279,0.0267242383538254
FGFR2,-1.047219137,0.0106478039095859
VSTM4,-1.046690543,0.000929215787755838
EDIL3,-1.046653009,0.0232793813277797
NXN,-1.046617945,0.0205382543508515
SLC16A7,-1.045349997,0.000177657165100968
NCAM2,-1.043731838,0.0349902087061246
TTN,-1.043203191,0.00744511126499726
AHNAK,-1.041127794,0.00600611800836471
GOLGA8Q,-1.040846796,1.20757212349853e-05
ZNF512,-1.039910348,0.00175135106946056
SLC7A2,-1.039510342,0.0572107511460113
ZMAT1,-1.039192718,0.000222833641891191
GLT8D2,-1.038279424,0.0391310450153163
PTPRZ1,-1.037782546,0.0162496855616453
C5orf42,-1.036397219,0.0032014066092998
MT1F,-1.036266425,0.128919814592624
TMEM220,-1.035506591,0.000139718832106744
ITGB3,-1.034004739,0.0822847806288096
TLR6,-1.032674384,0.0938924889955161
SNORD94,-1.031115666,0.0179482495815044
RYR3,-1.030576521,0.0228256020495312
SNCA,-1.030405433,0.00851379552947549
LOC646543,-1.028737123,0.00808236114311255
DENND5B,-1.028260257,0.0123218673717094
MICU3,-1.027676932,0.00383811852870329
IGSF10,-1.027527851,0.00735525404604518
TRIM9,-1.026491496,0.0574426782529538
GRIK3,-1.026211663,0.00943220822898962
CEP170P1,-1.025781131,0.00743942472342237
LOC101059935,-1.025661223,0.00409419176349424
KIAA0922,-1.025417805,0.0640809167238842
OTTHUMG00000019401,-1.02533609,0.260101466735101
KITLG,-1.023668615,0.00958502626671708
ACSS3,-1.023623993,0.00609854288452022
C16orf45,-1.022227993,0.0260696762099681
ZBTB20,-1.021973151,0.000706487896659992
BMPR1APS2,-1.020969154,0.0417831846388294
LINC00478,-1.02095705,0.0150591799710673
INSL5,-1.018443568,0.0829175065887531
SORCS1,-1.016730337,0.00131099128775715
PEG3,-1.015739125,0.00788576748395056
HMCN1,-1.015414148,0.0123853422738617
ANKRD20A4,-1.013911668,0.00107140714748789
SLC24A3,-1.013656875,0.00291935523133532
NTSR1,-1.012649671,0.0925555827644684
LPHN3,-1.011351488,0.0385115818841285
JMY,-1.008527919,0.0142725366047096
GNB4,-1.008337527,0.00450389173766399
ATM,-1.007380923,0.012769735647517
ABHD11,1.006802558,0.000578207707470875
CILP,-1.00674362,0.0165510272447575
PLEKHO1,-1.004706469,0.000697709014712959
PIEZO2,-1.004610973,0.0150320833578796
ZNF154,-1.004246361,0.0029806538377305
EPB41L4A,-1.004015257,0.0010486485841663
NBLA00301,-1.00380138,0.0158042077152285
ZNF426,-1.003490008,0.005533410170662
HBB,-1.003056399,0.0709190628381036
APOBEC3C,-1.002694097,0.0145731254017226
KIAA1462,-1.000766306,0.041053132607033
DZIP1,-1.000340903,0.00506778732000896
